#ion 	Z	N	Zeff	NIST		Err	mu=0	mu=0.1	mu=0.2  mu=0.25
o_i	8	8	1	13.61804	7	13.07	10.33	7.68    6.42
o_ii	8	7	2	35.12111	6	35.00	29.68	24.68   22.30
o_iii	8	6	3	54.93554	12	54.80	46.90	39.58   36.12
o_iv	8	5	4	77.41350	25	77.31	66.82	57.09   52.52
o_v	8	4	5	113.8989	5	112.81	99.75	87.76   82.14
o_vi	8	3	6	138.1189	21	138.04	122.41	108.09  101.37
o_vii	8	2	7	739.32679	6	739.86	720.99	702.48  693.36
Fe_ii	 26	25	2	16.19920	5	18.89 	14.20	-99.0	7.78
Fe_iii	 26	24	3	30.651		12	32.93 	25.60	-99.0	16.42
Fe_iv	 26	23	4	54.91		4	55.37 	44.65	-99.0	29.64
Fe_v	 26	22	5	75.0		2	74.92 	61.56	-99.0	42.83
Fe_vi	 26 	21	6	98.985		15	98.20 	82.20	-99.0	59.79
Fe_vii	 26	20	7	124.98		1	123.60 	104.96	-99.0	78.86
Fe_viii	 26	19	8	151.060		12	151.14 	129.85	-99.0	99.98
Fe_ix	 26	18	9	 233.6		4 	230.91 	206.99 	-99.0	173.48
Fe_x 	 26	17	10	 2.10		12	263.14 	236.65 	-99.0	199.74
Fe_xi 	 26	16	11	 290.9		4 	294.15 	265.04 	-99.0	224.58
Fe_xii 	 26	15	12	 330.8		6 	325.81 	294.04 	-99.0	249.75
Fe_xiii  26	14	13	 361.0		7 	356.95 	322.54 	-99.0	274.48
Fe_xiv 	 26	13	14	 392.2		7 	388.72 	351.68 	-99.0	300.03
Fe_xv 	 26	12	15	 456.2		5 	457.14 	417.57 	-99.0	362.77
Fe_xvi 	 26	11	16	 489.312	14 	488.86 	446.68 	-99.0	388.34
Fe_xvii	 26 	10	17	1262.7		7 	1260.58 1214.75 -99.0	1147.80
Fe_xviii 26 	9	18	1357.8		1.9 	1357.09 1308.56 -99.0	1237.68
Fe_xix	 26  	8	19	1460.0		3 	1459.12 1407.92 -99.0	1333.09
Fe_xx	 26 	7	20	1575.6		5 	1573.48 1519.58 -99.0	1440.80
Fe_xxi	 26 	6	21	1687.0		1 	1689.13 1632.53 -99.0	1549.75
Fe_xxii	 26 	5	22	1798.4		8 	1797.82 1738.54 -99.0	1651.80
Fe_xxiii 26	4	23	1950.4		1.8 	1950.49 1888.61 -99.0	1798.43
Fe_xxiv	 26 	3	24	2045.759	7	2044.34 1979.79 -99.0	1885.77
Fe_xxv 	 26 	2	25	8828.1875	11 	8836.74 8768.90 -99.0	8667.86
